name,type,value,date
《卅兮卅/$axi$a》,专辑,3,2016.11.21
专辑,专辑,2,2016.11.21
《有理想》,专辑,1,2016.11.21
《十二月》“心意”珍藏版,专辑,10,2016.11.28
《Reloaded 重启》,专辑,9,2016.11.28
《自传》内地引进版 首批限量版,专辑,8,2016.11.28
《Adore》,专辑,7,2016.11.28
《旋风》,专辑,6,2016.11.28
《自传》内地引进版 普通版,专辑,5,2016.11.28
专辑,专辑,4,2016.11.28
《15》珍藏版,专辑,3,2016.11.28
《请在哔声后留言》,专辑,2,2016.11.28
专辑,专辑,1,2016.11.28
《十二月》签名版 W版,专辑,10,2016.12.05
《十二月》签名版 Q版,专辑,9,2016.12.05
《Reloaded 重启》,专辑,8,2016.12.05
《旋风》,专辑,7,2016.12.05
《自传》内地引进版 首批限量版,专辑,6,2016.12.05
《Adore》,专辑,5,2016.12.05
专辑,专辑,4,2016.12.05
专辑,专辑,3,2016.12.05
《自传》内地引进版 普通版,专辑,2,2016.12.05
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,1,2016.12.05
《十二月》签名版 W版,专辑,10,2016.12.12
《十二月》签名版 Q版,专辑,9,2016.12.12
《Reloaded 重启》,专辑,8,2016.12.12
《旋风》,专辑,7,2016.12.12
专辑,专辑,6,2016.12.12
《自传》内地引进版 首批限量版,专辑,5,2016.12.12
《Adore》,专辑,4,2016.12.12
《日常》,专辑,3,2016.12.12
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,2,2016.12.12
《乔任梁》,专辑,1,2016.12.12
《十二月》签名版 W版,专辑,10,2016.12.19
《十二月》签名版 Q版,专辑,9,2016.12.19
《Reloaded 重启》,专辑,8,2016.12.19
专辑,专辑,7,2016.12.19
《乔任梁》,专辑,6,2016.12.19
《旋风》,专辑,5,2016.12.19
《Adore》,专辑,4,2016.12.19
《日常》,专辑,3,2016.12.19
《目标（豪华版）》,专辑,2,2016.12.19
《自传》内地引进版 首批限量版,专辑,1,2016.12.19
《十二月》签名版 W版,专辑,10,2016.12.26
《十二月》签名版 Q版,专辑,9,2016.12.26
《Reloaded 重启》,专辑,8,2016.12.26
《乔任梁》,专辑,7,2016.12.26
《自传》内地引进版 首批限量版,专辑,6,2016.12.26
专辑,专辑,5,2016.12.26
《Adore》,专辑,4,2016.12.26
专辑,专辑,3,2016.12.26
《日常》,专辑,2,2016.12.26
《Blue Neighbourhood 蓝色街区（豪华版）》,专辑,1,2016.12.26
《十二月》签名版 W版,专辑,10,2017.01.02
《Reloaded 重启》,专辑,9,2017.01.02
《十二月》签名版 Q版,专辑,8,2017.01.02
专辑,专辑,7,2017.01.02
